80499  Python           11.4  00:06.87 38     12  66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 73997+     4264     124         39          93247+      3838703     35828+      5894    410+       12.8  398481792  276604371  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           8.9   00:06.97 38     12  66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74008+     4264     124         39          95496+      3838703     37051+      5894    426+       9.6   378529611  264156771  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.0  00:07.08 38     12  66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74019+     4264     124         39          97836+      3838703     38302+      5894    453+       11.2  343226040  244068856  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.7  00:07.19 38/1   12  66     168M+  0B     0B     80499 94240 running  *0[1]             0.00000  0.00000    501 74026+     4264     124         39          100161+     3838703     39565+      5894    464+       11.2  352295836  248549262  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.0  00:07.30 38     12  66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74032+     4264     124         39          102387+     3838703     40799+      5894    477+       10.6  351610320  246785528  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.2   00:07.42 38     12  66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74037+     4264     124         39          105172+     3838703     42346+      5894    492+       9.9   400969277  282144494  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           11.2  00:07.54 38     12  66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74042+     4264     124         39          107686+     3838703     43728+      5894    507+       11.9  381885095  265703388  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.8   00:07.65 38     12  66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74048+     4264     124         39          109838+     3838703     44939+      5894    520+       10.4  362700711  255005439  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.9  00:07.77 38     12  66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74062+     4264     124         39          112263+     3838703     46254+      5894    536+       11.7  362319673  257636325  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.8   00:07.88 38/12  12/10 66     168M+  0B     0B     80499 94240 running  *0[1]             0.00000  0.00000    501 74067+     4264     124         39          114392+     3838703     47420+      5894    547+       10.3  302089665  218411209  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           8.2   00:07.97 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74068+     4264     124         39          116868+     3838703     48800+      5894    553+       8.5   362061934  255321462  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           11.1  00:08.09 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74072+     4264     124         39          119489+     3838703     50224+      5894    573+       12.0  380580521  266512071  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.5   00:08.20 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74074+     4264     124         39          121614+     3838703     51373+      5894    592+       10.3  323339402  230091849  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.9   00:08.31 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74079+     4264     124         39          123839+     3838703     52638+      5894    604+       10.5  336511721  233367941  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.5   00:08.41 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74082+     4264     124         39          126057+     3838703     53829+      5894    628+       10.6  360050032  250457969  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.8  00:08.54 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74085+     4264     124         39          128928+     3838703     55395+      5894    643+       11.4  437505359  308646442  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.6  00:08.66 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74089+     4264     124         39          131383+     3838703     56756+      5894    682+       12.4  361768614  256392220  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.2   00:08.76 38/1   12    66     168M+  0B     0B     80499 94240 running  *0[1]             0.00000  0.00000    501 74093+     4264     124         39          133770+     3838703     58143+      5894    696+       9.9   343556053  246486027  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.2  00:08.87 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74100+     4264     124         39          136358+     3838703     59608+      5894    722+       11.4  362288622  257776844  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.6   00:08.98 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74102+     4264     124         39          138911+     3838703     60953+      5894    737+       10.3  380577562  268463977  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.7   00:09.09 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74106+     4264     124         39          141057+     3838703     62123+      5894    758+       10.6  323004983  226349230  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           8.8   00:09.18 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74109+     4264     124         39          142823+     3838703     63035+      5894    783+       9.9   249609536  182097790  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.8  00:09.30 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74111+     4264     124         39          145155+     3838703     64277+      5894    812+       12.2  341986667  239226133  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           8.2   00:09.40 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74114+     4264     124         39          147125+     3838703     65285+      5894    826+       8.9   320582692  225355110  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           8.3   00:09.49 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74118+     4264     124         39          149023+     3838703     66288+      5894    842+       9.1   284184599  200695432  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           8.3   00:09.59 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74121+     4264     124         39          151151+     3838703     67444+      5894    854+       8.8   304040240  218574545  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           8.6   00:09.68 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74124+     4264     124         39          153042+     3838703     68473+      5894    874+       9.5   284235488  199680361  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.7   00:09.79 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74126+     4264     124         39          155018+     3838703     69542+      5894    896+       10.7  321766612  225897403  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           6.7   00:09.87 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74131+     4264     124         39          157023+     3838703     70630+      5894    904+       7.1   286162972  204071586  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.9   00:09.97 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74135+     4264     124         39          159041+     3838703     71732+      5894    922+       10.7  321463239  222883829  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           8.9   00:10.07 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74139+     4264     124         39          161221+     3838703     72840+      5894    952+       10.2  322928264  225913685  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           8.6   00:10.17 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74142+     4264     124         39          163147+     3838705+    73875+      5894    972+       9.5   303373842  208946859  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           7.5   00:10.25 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74143+     4264     124         39          165172+     3838705     74922+      5894    984+       8.1   321478867  225078408  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           8.7   00:10.35 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74147+     4264     124         39          167392+     3838705     76087+      5894    996+       9.2   376523154  256774169  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.7  00:10.47 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74152+     4264     124         39          170010+     3838705     77488+      5894    1017+      11.7  398429784  278081205  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           11.1  00:10.60 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74158+     4264     124         39          172790+     3838705     78956+      5894    1042+      12.2  437878462  306448311  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.4   00:10.71 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74163+     4264     124         39          175662+     3838705     80495+      5894    1053+      9.9   436255444  307595436  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.1  00:10.82 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74170+     4264     124         39          178029+     3838705     81735+      5894    1075+      11.1  378750690  259043974  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
